Id_Negocio,Nombre,Id_Ciudad,Direccion,Latitud,Longitud,Estrellas,Id_Categoria,Num_Reviews
_22VqZzLBVjhaKfTg70dIA,"Linh-Nam Chinese Restaurant",161,"3936 W Ina Rd, Ste 362",32.3381,-111.05,4,1,118
_2a9eJC2bLeEJd0z1nLFlw,"Caliber Collision",342,"5401 RT-42",39.7559,-75.0477,3.5,3,7
_2axAlqUMjbJrtTAgtPQpQ,"Best Buy - Metairie",73,"3780 Veterans Memorial Blvd",30.0031,-90.1676,3,4,10
_2ghaxUvOxxjqcEfLxQSAA,"Whitemarsh Family Dentistry",403,"400-R Germantown Pike",40.0923,-75.2615,4.5,2,9
_2gi6ICYydmPJz97xwI5Gg,"Joe Dunn Arts",16,"304 Royal St",29.955,-90.0673,4.5,4,7
_2miSK7ZGDJFMw-XQXkAuw,"Valvoline Instant Oil Change",64,"8488 W Overland",43.5906,-116.288,3,3,5
_2px12u77r7E3LQ8vnDbLg,"El Burrito",140,"180 Bridge St",40.1339,-75.5151,3.5,1,138
_2tFRpBYAZPDvktMw6sh0g,KFC,12,"4259 - 23rd Avenue",53.4542,-113.409,1,1,7
_2x2i-Dk47a_36hcvT6wfQ,"Third Coast Soccer",73,"2311 Veterans Memorial Blvd",30.0031,-90.148,4,4,6
_2xEQm2W6W5E3G6c49T5Ug,"Batteries Plus Bulbs",4,"5925 W Arizona Pavilions Dr, Ste 101",32.3537,-111.092,3.5,4,21
_30PYsnQuGax9SbSnVL0-A,"Mr China",213,"359 Pennington Ave",40.2318,-74.77,4,1,5
_34KJPR-T0HP9USJw1nCfw,"Hiro Ramen House",1,"1102 Chestnut St",39.95,-75.1589,4,1,435
_370tgY88bNAMXRgN0-J5Q,Arby's,171,"435 W Main St",36.3032,-86.6419,2,1,9
_393npnr0Dw1aGKy83x_0A,"Paladar 511",16,"511 Marigny St, Ste A",29.963,-90.0548,4.5,1,507
_3AUB8a63BztTjo7ZIN6-Q,"Positively Records",113,"4153 Woerner Ave",40.1514,-74.8585,4.5,4,21
_3DBgWpzjo_TSNm4jRNiJg,"Chinese Hot Pot Buffet",12,"5420 Calgary Trail NW",53.4915,-113.497,4.5,1,52
_3hT6D26_1uGR_W1RcmUaA,"WIN Bubble Tea - White Bridge",8,"99 White Bridge Pike",36.1316,-86.8581,4,1,26
_3I8v4W8ap_XK4PewwmU6A,"Valvoline Instant Oil Change",10,"205 Homer Adams Pkwy",38.9199,-90.1723,4.5,3,8
_3j8rQHUviV55AqsSSzK2w,"Robola Pizza & Grill",1,"1999 N 52nd St",39.9886,-75.2276,3,1,35
_3mIHvzReaJsSB8UnbTnKQ,"David White, DDS",7,"1300 Haskell St",39.5114,-119.808,4.5,2,12
_3pg_9eXU7ZGbljaNuYGiQ,"Stephenson's Auction",88,"1005 Industrial Hwy",40.1627,-75.0443,2.5,4,9
_3SJZnJN4wT8yr4DVNNqDA,"David Gardner, DMD - Rittenhouse Dentistry",1,"1728 Spruce St, Ste 101",39.9475,-75.1708,5,2,48
_3WAkg_nfdRoOvadFs9teA,Subway,8,"2100 8th Ave S",36.1322,-86.7787,3.5,1,17
_3X4IRjAJ63rk2XoER8eaA,"Jiffy Lube",6,"3998 SouthEast St",39.7082,-86.1494,3.5,3,8
_4_qlN7JR4wCRRjkSysk1g,"Godby Home Furnishings",72,"14550 Mundy Dr",39.9995,-86.0011,2,4,41
_40CSZCKamFvHGZXaVaGXQ,"Samosa House",12,"9405 118 Avenue NW",53.5703,-113.486,3.5,1,6
_41hRR-WQEz7ffeeopwJ6A,"Go Popcorn",276,"18 W Lightcap Rd, Ste 1053",40.2361,-75.5693,4,1,9
_41SpyZZw0uDUE3mQjv_OQ,Azul,6,"39 E 9th St",39.7791,-86.1563,2.5,1,9
_42GuvIzmEwVI4lE5zYpFA,"Andy Mohr Ford",218,"2713 E Main St",39.7197,-86.3494,2,3,95
_46NI0zcrnA0HFWdRmGbkg,"Coffee Works Roastery & Cafe",87,"910 Haddonfield Berln Rd, Unit 6",39.8511,-74.9795,3.5,1,12
_47K-Y1tPeKHTo6PxJLNYg,"Mower Medics",13,"10004 N Armenia Ave",28.0403,-82.4802,4,4,5
_4CDv5gKHpPb1ALZKS4Sjw,"Bro's Pizzeria & Bar",3,"2535 E Bay Dr",27.9162,-82.7609,4,1,98
_4E8aECY-679SxLH4R0Z3g,Amoroso's,1,"845 S 55th St",39.9459,-75.2332,3,1,5
_4FbrGumeyeOeK2kbDFxEA,"King of Donair",12,"10364 - 82 Avenue NW",53.5182,-113.497,3,1,28
_4RMTJMed8dD7_HFzHhwOw,"N'awlins Sports",16,"916 Decatur St",29.9587,-90.0608,2,4,10
_4tW_rwpBBLzuC0fDfGSdw,"Firestone Complete Auto Care",99,"3301 Old Capitol Trl",39.7339,-75.6246,3.5,3,11
_4VXaJvHXEqN-eOPfh3H7A,"Vivo Ristorante",12,"6143 Currents Dr NW",53.4375,-113.603,3,1,7
_5_x1-g7vMxag8fPNJT_3A,"Village Wine Cellar Wine Bar and Bistro",436,"4038 Skippack Pike",40.2235,-75.4002,2.5,1,26
_5_xybRFzDlvIkK_y10Iww,"Sheraton Westport Chalet Hotel St. Louis",30,"191 Westport Plz",38.7023,-90.4474,3,5,85
_5-bb3nXPssdFNP_sWW7pg,"O'Neil Buick GMC",104,"869 W St Rd",40.2111,-75.1061,3.5,5,40
_55pMRf55YS9qecJdN4iUA,"La Tolteca",53,"1758 Allentown Roa",40.2598,-75.3293,3,1,7
_5arUCK9zn1NegiZRxb6Rg,"Love's Travel Stop",8,"130 W Trinity Ln",36.2052,-86.7717,3,3,16
_5BlWVancppOgHHq7WvzQw,"Goodwill Industries of Middle Tennessee - 99 Cent Outlet",171,"291 New Shackle Island Rd",36.3207,-86.6242,4.5,4,6
_5dIisc2ujN8R0IZqBfwWA,"Residence Inn by Marriott Wilmington Downtown",99,"1300 North Market St",39.7483,-75.5455,3.5,5,6
_5FDW5ajz6NKsPqePPZI0g,"Wild Wasabi",88,"295 Buck Rd",40.1748,-74.9848,3.5,1,8
_5j1jqZfayk8QiOdpclF1Q,"Bravo's Pizza Seafood House",1,"5734 N 2nd St",40.0385,-75.1249,1.5,1,12
_5ks_7OiDD_fte9DSYSQ2w,"Fritz in Fishers",75,"8599 E 116th St",39.9562,-86.0184,3,3,14
_5pmGD1gT-KfikJMqkeucg,"Fairfield Inn & Suites by Marriott Mt. Laurel",158,"350 Century Pkwy",39.9286,-74.9612,2.5,5,30
_5upOB7cqNMY0ZAZCBVqOA,AutoZone,3,"200 Starkey Rd",27.9153,-82.7631,4.5,3,8
_5vE7CRfcUPHLIDixqtrMg,"Neshaminy Mall",170,"707 Neshaminy Mall",40.1395,-74.9557,3.5,4,60
_5YJq7mUvTasNQhVb192UA,"Associated Dental Care - Tucson N Campbell",4,"3250 N Campbell, Ste 116",32.2662,-110.943,2,2,33
_5YYdX2mGUfEymf-O8CgNQ,"Your Pot's Desire",30,"6511 Delmar Blvd",38.6559,-90.3045,2,4,6
_5ZyrboEvdEyOg2a5cgEpg,"Tony's Pizza & Italian Restaurant",12,"9605 111 Avenue NW",53.5591,-113.49,4,1,98
_63cmxCZdWUDMk6HK1uQhg,Starbucks,2,"2833 Gulf To Bay Blvd",27.9605,-82.7199,3,1,15
_6A-vMw12vryDpFRy5vhuQ,"Redlands Grill by J. Alexander's",13,"913 Dale Mabry Hwy",27.952,-82.504,4,1,390
_6BPCsncWRTAXs-8B5PAow,"Panda Express",52,"501 Brandon Town Center Dr",27.9282,-82.3256,2.5,1,7
_6fsNuGA3W4mkDZhxWVWXA,"Welsh Subaru",110,"105 W Ridge Pike",40.2189,-75.5074,4.5,3,7
_6Iw4dgSxyoINHgtjruu3Q,"Mini Super Pars",12,"9312 34 Ave NW",53.4666,-113.475,3.5,1,5
_6K0l9oY5ETQuA4rb6CunQ,Hardee's,124,"400 S Cartwright",36.3225,-86.7077,2,1,18
_6QJBXB4SWXtjLcsKGFMRw,Flavour,8,"1522 Demonbreun St",36.1531,-86.7903,3.5,4,8
_6s7vdfm8qMfD8sUpQzIbQ,"Gulf Way Inn",2,"2275 Gulf To Bay Blvd",27.9605,-82.7428,1.5,5,6
_6woRce_3sGy5zDrpbM4Vg,"Park Place Tire & Auto Center",16,"2841 Tchoupitoulas St",29.9204,-90.0796,4,3,80
_6Y3SxBvr_NUDBI0eLowLA,"A Fork in the Road",16,"200 Broadway St",29.9314,-90.1329,3,1,7
_71WZL5izRxgFgu-nKsD5w,"Sunny Discount Liquor",7,"2900 Clear Acre Ln, Ste L",39.5573,-119.791,3.5,1,5
_72lSqRdaLhMngyq-d4OiQ,"Burger King",299,"80 East Bridge Street",40.1819,-75.5464,1.5,1,7
_78BRhM7B3sNy8OvCNgBPw,"China Inn",6,"9613 N College Ave",39.9284,-86.1452,3.5,1,37
_78Lam9Jd0W6ZmnHTvdjMg,"Armature Works",13,"1910 N Ola Ave",27.9612,-82.4637,4.5,1,1119
_7Be16X5HVe4ypieLii4Ow,"Las Fuentes",76,"680 N US Hwy 67",38.798,-90.3356,3.5,1,69
_7cf56aKblR62Jwor53Nlw,"Circle K",99,"1801 Concord Pike",39.7861,-75.5453,3.5,1,5
_7D1CjVqSSz637-WzDs6kg,"Desert Refrigeration & Auto Service",4,"3675 N Romero Rd",32.2741,-111.004,5,3,8
_7EnH5l_oCZyu407yuvNEQ,"Tacos Mexigo",241,"307 Ridge Rd",39.8127,-75.4435,3.5,1,26
_7g89aWLTv3kS5xsNcX8Gw,"China One",46,"4316 6th St S",27.7293,-82.639,3.5,1,9
_7NL4U1qm18RRm1XylZ7wA,Dury's,8,"1027 Murfreesboro Pike",36.1282,-86.7131,3.5,4,39
_7TAm2XyzahdDRDDE-Xb8A,Dunkin',143,"10250 Page Ave",38.6909,-90.387,2,1,11
_7V9Yr8VCMlLzykAo-Lhnw,"Cafe 251",6,"251 N Illinois St, Ste 140",39.7711,-86.1592,4.5,1,26
_7vwC7qyeKBJmc4yYcQrGA,"Berta Sawyer",135,"306 York Rd",40.0955,-75.1256,4,4,5
_7wNcARcLtZWDeurAa6H5g,"Spirits of '76 Ghost Tours",1,"325 Chestnut St",39.9491,-75.1472,3,5,15
_8_j8KRNtHtGoG6q6q_5lw,Walgreens,248,"152 E Lancaster Ave",40.0414,-75.4771,2.5,1,6
_862ur1CNEtAr72r2DQmUA,"Roberts Camera",25,"12761 Old Meridian St",39.9737,-86.1492,4,4,29
_8c3ykQczPF77-qaOSks1Q,"Zano Cars",4,"2005 S Alvernon Way",32.1991,-110.909,2.5,3,10
_8DMOJZoJnX4WPgqEdEUsg,"Taqueria El Gallo de Sinaloa",4,"6841 S Craycroft Rd",32.1275,-110.875,3.5,1,7
_8fsFNmqNmsPTd1tkCHLzQ,"Family Dermatology",1,"525 Jamestown St, Ste 206",40.0282,-75.2087,1.5,2,10
_8HapUnPIj89zPIr_sEdAA,"Hadleys Catering and Events",245,"4700 Lebanon Pike",36.2169,-86.5919,3,1,77
_8JJHa6fHX8kXkww7KMN6g,"Peggy Sterling, OD",58,"29154 Chapel Park Dr",28.2394,-82.3324,2.5,4,9
_8uqfnMGPK0YHO1qc6c7vQ,"Pizza Haven",52,"122 E Brandon Blvd",27.9387,-82.2847,4.5,1,87
_8Wi-FvM3z0itovHLtDUuw,"Fresh Works of Warminster",104,"348 York Rd",40.2001,-75.1011,4,1,16
_8Wq8lh2uJoMTftYtNAC3w,"Saige Cafe",1,"1631 Wallace St",39.9658,-75.1655,2.5,1,26
_8XdNPiCJmrbehZr5nRyfA,"Taco Bell",2,"2456 McMullen Booth Rd",28.01,-82.7089,3,1,20
_8Y8tsvMmwCkT3xrlmWbNg,"Advance Auto Parts",13,"3823 S Dale Mabry Hwy",27.9075,-82.5067,4,3,8
_8YjZsIqyk9kSpWey7BftA,"BJ's Custom Auto Upholstery",13,"8624 N Florida Ave",28.0287,-82.4598,4.5,3,11
_92GOLKC_FWTNaDIg7VVbA,"City Farmhouse",41,"117 3rd Ave N",35.9259,-86.8697,3.5,4,6
_9bC6VOnthnpY4CIvCEkAg,"Higgins Muffler & Brake",21,"324 E Haley St",34.4205,-119.691,4,3,33
_9CzPGs9MrF-Ydam2VNT9w,"Tacos Gone Mobile",13,"1309 E Fletcher Ave",28.0687,-82.4452,4.5,1,73
_9d6vlplnhYFlUJR3I8fQQ,Starbucks,155,"930 W Rt 70, Ste 100",39.8954,-74.9437,3.5,1,10
_9JumTIHEQgTV9-gGe_TWg,Sligo,200,"101 Byers Dr",39.8833,-75.5276,3,1,27
_9MTM7D67Up6A_5uTv1Ucw,"Kabuto Hibachi, Sushi & Lounge",242,"2650 Dekalb Pike",40.1376,-75.3145,4,1,150
_9NKC0LTGR8RSRTSdcwyvw,"Capt. Sal's Seafood & Chicken",16,"3168 Saint Claude Ave",29.967,-90.0427,4,1,56
_9O_19_Gt2cLda_chyVj6g,"Carrollwood Village Dental",13,"4536 W Village Dr",28.0728,-82.5223,4.5,2,7
_9uTLFRFigA55YzSiuJoSg,"Widow Fletcher's",106,"4927 US Hwy 19",28.2309,-82.7313,3,1,97
_9Z3cuZQBOGv_XzSG4ewHA,"Piazza Gavi",4,"5415 N Kolb Rd",32.3054,-110.844,3.5,1,322
_A1Dr1Ms8PUuAif7bR_Zcw,"IL Terrazzo",13,"700 S Florida Ave",27.9416,-82.4541,3,1,5
_A1fLYnwjT4t-Qlj1vLVMQ,TigerDirect,2,"23656 US Hwy 19 N",27.9876,-82.731,3,4,23
_A2YtPqLxss0uLhRey5yCw,"The Thirsty Marlin",185,"1023 Florida Ave",28.0783,-82.7664,4,1,401
_A4HG7eaux6dSDClpTaYpA,AutoZone,7,"370 Lemmon Dr",39.6146,-119.848,3,3,7
_A4JgqZzr3rUsMgHfKer7Q,"NY Bagel Cafe & Deli",1,"103 Turner Ln",40.0141,-75.2318,2.5,1,7
_A8htHAdwhG81eNUXa8DBg,"Evan's Sports Cards & Collectibles",294,"2999 E Evesham Rd",39.8714,-74.9342,5,4,5
_A9HatbhHMesQq8-O_e20g,"Java Bay Cafe",13,"13312 Telecom Dr",28.0685,-82.3751,4.5,1,34
_Aaf0LhM95LVaEQyF-L-uw,"The Game Preserve",6,"8487 Union Chapel Rd, Ste 660",39.909,-86.1086,4.5,4,21
_ab50qdWOk0DdB6XOrBitw,"Acme Oyster House",16,"724 Iberville St",29.9543,-90.069,4,1,7568
_acx3RRCJ4U1DDs0aAUY5A,"Sam's Club",90,"1725 34th St N",27.7887,-82.6769,3,4,42
_AGmdAQxIjHiqMFCZC-Uaw,"Excel Physical Therapy- Washington Square",1,"601 Walnut St, Ste 647",39.9483,-75.1512,4.5,2,10
_agzW_0F9uSJ7i6EJ9ufeg,"Rebecca Gay Doula CBE CLC",13,,27.9401,-82.4502,5,2,33
_AJaYqoPRdN7sSxuMDQlVw,Wawa,119,"112 West Fourth St",40.1053,-75.3451,2,1,5
_ajD9LBOEb01D4ADBHAfYQ,"Jack's Premium Car Wash & Quick Lube",365,"913 W Hwy 50",38.5919,-89.935,3.5,3,10
_AMWVNQ0C_nzQIUHQDkevg,"Arizona Institute of Urology",4,"5670 N Professional Park Dr, Ste 100",32.3104,-111.011,1.5,2,15
_anAV7MH8kZ-KXI6hNjtHQ,"Terra Mar Brazilian Steakhouse",19,"6715 49th St",27.8332,-82.6993,4,1,186
_aolS4pv23YeS6H3LECTmQ,"Francesco's Pizzeria & Ristorante",20,"351 High St",40.0782,-74.8578,4.5,1,33
_AqS7hNIQra2bsZRgVs-kQ,"Taco Bell",6,"6327 E 82nd St",39.9052,-86.0595,2,1,48
_asKfHFqLUM29FCrNFMNIw,"Apache Village RV Center",65,"9001 Dunn Rd",38.7783,-90.3513,4,3,9
_aUbnzkutTdk1G2Ac28quA,Kroger,187,"5319 Mount View Rd",36.0495,-86.6473,2,4,16
_AvFiC-whJC9g9ndd3XGtA,Subway,4,"7245 E Tanque Verde Rd, Ste 110",32.2513,-110.838,4,1,6
_AVG0GvrMfBRK5jyuwSwrg,"Motto By Hilton Philadelphia Rittenhouse Square",1,"31 S 19th St",39.9525,-75.1717,4,5,32
_aVKCDf7P8iHVKiZnsuCiw,"Nineteen 19 Bar & Grill",210,"1254 W Chester Pike",39.9722,-75.3186,3,1,8
_aVXJx1Q87q9XLQvWnYw6A,"Dylan's Candy Bar",13,"4100 George J Bean Pkwy",27.9762,-82.5322,3.5,1,6
_awhFQUGJGaFMr38viqI9w,"Best In Town Pizza",1,"7971 Castor Ave",40.0616,-75.056,2.5,1,34
_B_c_WUtvfudcKQp4mIV0A,"German Motorworks",8,"901 6th Ave S",36.1486,-86.774,5,3,9
_B-iMyCxdIq53CIMIFq5Lw,"Temptations Buffet",49,"777 Harrah's Blvd",39.8511,-75.3483,2,1,6
_b6XNzqaXL05l7yUGFbkbg,"Executive Royal Hotel",12,"10010 178th Street NW",53.5385,-113.629,3.5,5,9
_b7pdDeje26p1fH8OL844Q,"Suburban Square",253,"Anderson Coulter Ave",40.009,-75.2892,3.5,4,19
_BAXUOQcB1PJYz6y5ny__g,"Truckee Meadows Gourmet Express",7,"2555 Dickerson Rd",39.5205,-119.843,4,1,12
_Bb7QR1R2vW1n0Z6n9zmzw,Arby's,165,"8720 Manchester Rd",38.6125,-90.3471,2,1,16
_BKyniFZ3lDeTo3JeKkv6g,"Sol Levante Bakery",394,"1923 Cheltenham Ave",40.0683,-75.1471,5,1,58
_bqwjNXAW_Li6c8suIwdBg,"Sushi One",7,"4944 S Virginia St",39.4812,-119.79,4,1,310
_BTdfZLpjdkdXwA-JuLwhw,"The Conwell Inn",1,"1331 Pollet Walk",39.9818,-75.1576,3.5,5,25
_btYvQUAdnyDRh9I17PKDg,"Caveman Truck",6,"1 Monument Cir",39.7685,-86.1581,4,1,24
_Buy1b4MYdB83_gGnnLseQ,"Hampton Inn & Suites Franklin",41,"7141 South Springs Dr",35.9524,-86.8136,2.5,5,35
_ByDwGQyea0JQFzFgx_i0w,U-Gas,260,"2311 Upper Bottom Rd",38.7429,-90.5314,3.5,3,10
_bZhlcgCGJhHZ2WElbIsSQ,"El Zarape Mexican Restaurant",13,"4820 N Armenia Ave",27.9841,-82.4684,4,1,15
_bZjpxLwuCPH7I7udj-Qaw,"Beach Island Brewery",118,"2058 Bayshore Blvd, Ste 5",28.0398,-82.7842,4.5,1,10
_c-dGNiPXl82X0765DZsmA,"Jerk Hut Restaurant",13,"1241 E Fowler Ave",28.0538,-82.4468,3.5,1,341
_C9Fk-OOkFznn0cwUYFrAQ,"Flowered Occasions",218,"115 W Main St",39.7026,-86.4025,5,4,6
_CAtatmn5FKtMFXcyQyWdQ,McDonald's,4,"3105 E Valencia",32.1346,-110.926,1.5,1,26
_CatY2VC230AGI0cWzEmxQ,"Main Street Nutrition",295,"358 E Main St",40.1873,-75.4529,4,1,7
_CAwB5NnsduM5LqMizG0OA,Kroger,8,"2615 Franklin Pike",36.1199,-86.7772,2.5,3,43
_cb1Vg1NIWry8UA0jyuXnQ,"Cheng Du",248,"82 E Lancaster Ave",40.0414,-75.4776,4,1,132
_cbNtNu9SU_l-rb6HP27qg,Humdingers,165,"330 Franklin Rd, Ste 906D",36.0264,-86.7898,3.5,1,100
_CbuP1zG_SqkEhVlkSIM1A,Wendy's,28,"3521 Edgemont Avenue",39.8712,-75.385,2,1,11
_cEqBObvQCg8cRPMoZv21A,"Veronica's Restaurant",108,"26 S Haddon Ave",39.8974,-75.031,3.5,1,6
_CfOGOGryKczkDS7JluT0A,"Beauty Depot",13,"3120 E Hillsborough Ave",27.9965,-82.4251,3,4,11
_CiHgyberxXTWcctuziNgA,"Sweet Tomatoes",150,"10156 US 19N",28.3049,-82.7015,4,1,25
_cK526t2R3gqCHpEbwbUtg,"Freddys Frozen Custard & Steakburgers",66,"2204 Troy Rd",38.7857,-89.9504,3,1,17
_ckcHz7YIgRUIHi6OUC2fA,"CVS Pharmacy",2,"3765 Ulmerton Road",27.8945,-82.6847,3.5,1,13
_CPadEW3NDmg0NyIxUq4fQ,"RR Racing",9,"309 Commerce Dr, Ste 200",40.0236,-75.6388,3,3,6
_cpOt39EdvwAZpBC9v31Pw,"AM Used Auto Parts",13,"3601 N 15th St",27.9771,-82.4427,1.5,3,9
_csdmww5Iq_46HDb99TEmQ,"Music City Shuttle",8,"Music Valley Dr",36.2297,-86.6993,5,5,32
_cWm3zM3-NnAfbzm3K2egw,"Music Showcase",52,"402 Oakfield Dr",27.9336,-82.2909,3.5,4,7
_CX22ySz8BMJ02p5NsFfHg,7-Eleven,167,"1406 Welsh Rd",40.2063,-75.2242,3,1,7
_czjtkS_XllCJi_1vBc_sw,McDonald's,8,"1173 Murfreesboro Rd",36.1217,-86.7054,1.5,1,11
_czpsFP7aO6bTe4vSF3mpA,"Orange Grove Dental - New Port Richey",106,"4122 Rowan Rd",28.2192,-82.6915,3,2,5
_d2AIb2NIk1lnka-0s8ozA,Staples,12,"9580 170th Street",53.5335,-113.618,2.5,4,13
_d54iznmhc1r1ujzV9J_lA,"Yum Yum Vapor & Head Shop",7,"1702 G St",39.54,-119.766,3,4,14
_d5OAxaxRPsivgYbBq7U1A,"Hyatt Place Philadelphia/King of Prussia",37,"440 American Ave",40.0945,-75.3975,3.5,5,62
_D8mp9kp_2Al5nTpBuOa3w,"D & M Automotive",16,"2927 Conti St",29.9703,-90.0878,2,3,7
_D9m3S5dHYHAabThoCvSYQ,"The Country Crock Restaurant",127,"701 N. Blackhorse Pike",39.6958,-74.9998,4.5,1,10
_dDW5rc7MKCOzhRewe3Kfg,"Drink Beauty",16,"3424 Magazine St",29.9225,-90.0895,4.5,1,75
_dESESvzBzalsQFDGHIXSQ,"El Mariachi Loco Cantina",133,"12315 Natural Bridge Rd",38.7564,-90.4225,4,1,13
_Df-xN7RdOtegHVuOaMoOA,"La Michoacana Premium",8,"3763 Nolensville Pike",36.0913,-86.7355,4.5,1,24
_DfEDHqaf-b3vIL5Hb8_eQ,"Comfort Zone Sleep Gallery",105,"5968 Hollister Ave",34.4364,-119.83,4,4,12
_dFrOHyz209qbfx0dOiriw,"Jiffy Lube",189,"120 Gravois Bluff Circle",38.5062,-90.4449,2.5,3,9
_dH5NnhcjRQ9vQsIoHuAKA,Donut-King,265,"658 1st Capitol Dr",38.7817,-90.4887,4.5,1,37
_dH6mlw93zWknYDEDHcxGQ,"Cross Keys Family Dental",342,"3501 NJ-42, Ste 270",39.7266,-75.0355,1.5,2,21
_Dk5BQnbC1m34kz1tMpNyg,"K&D Crustaceans",13,"2917 W Cypress St",27.9521,-82.4906,3.5,1,26
